,SHIPPER,CONSIGNEE,total.qty
1,ACEITES BORGES PONT S.A.U.,BORGES USA INC. 2680 WEST SHAW LANE,259151
2,AGROFOODS CENTRAL VALLEY CHILE S.A.,"LIBERTY GOLD FRUIT CO., INC",322270
3,ALEX APPAREL.,WALMART STORES INC.,400356
4,"ANGEL CAMACHO ALIMENTACION, SL",WAL-MART PUERTO RICO/AMIGO DIVISION,508428
5,"APEX MARITIME (SHANGHAI) CO., LTD.","APEX MARITIME CO., INC.",436807
6,"APEX MARITIME (SHENZHEN) CO., LTD","APEX MARITIME CO. (LAX), INC.",269779
7,APM GLOBAL LOGISTICS BANGLADESH LTD,UNTO THE ORDER OF,257408
8,BALATANA SA,WALMART STORES INC,464640
9,BANANERA NACIONAL S A,WALMART STORES INC,2375724
10,BEIJING KANG JIE KONG INTERNATIONAL,"WAL-MART STORE,INC.",323262
11,CARIBBEAN PINEAPPLE EXPORT SA,WALMART STORES INC,1023000
12,DAMCO CHINA LIMITED O/B,WAL-MART CANADA CORP.,447523
13,DAMCO CHINA LIMITED SHENZHEN BRAN,DAMCO USA INC (ATLANTA),220207
14,DAMCO ON BEHALF OF,WAL-MART CANADA CORP.,353824
15,DAMCO SHENZHEN O/B,WAL-MART CANADA CORP.,556206
16,DAVID DEL CURTO S.A.,WAL-MART STORES INC. USA,205724
17,DE WELL CONTAINER SHIPPING INC.,"DE WELL CONTAINER SHIPPING,INC.",316495
18,DOLE CHILE S.A.,WALMART STORES INC.,323894
19,EINS S A,WALMART STORES INC,613196
20,"ENRIQUE GARRIGOS MONERRIS, S.A.",COMERCIALIZADORA MEXICO AMERICANA S,708546
21,EXPORTADORA RIO BLANCO LTDA.,WALMART STORES INC.,295287
22,GHIM LI CAMBODIA PTE LTD,WAL-MART CANADA CORP.,487710
23,HANSAE INTERNATIONAL SA,WALMART STORES INC,353216
24,HASBRO INTERNATIONAL TRADING B V,WAL-MART CANADA CORP.,297779
25,ISTMO TEXTIL NICARAGUA SA,WALMART STORES INC,228485
26,JAS OCEAN SERVICES INC,JAS FORWARDING USA INC,267675
27,JIEYANG TOP-TIPS DAILY USE PRODUCT,"U.S. COTTON, LLC",206941
28,KIDDIELAND TOYS LIMITED,KIDDIELAND TOY INC.,297073
29,MATTEL BRANDS A DIVISION OF MATTEL,WAL-MART CANADA CORP.,383060
30,MODAS KOTOP S A,WALMART STORES INC,423865
31,NICE IMPACT LIMITED,"SHYE WORLDWIDE,LLC",209452
32,"OEC LOGISTICS (QING DAO) CO., LTD.",OEC FREIGHT (NY) INC.,271279
